City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,214,Ewa Beach,US,21.3156,-158.0072,76.95,74,1,5.75,clear sky
215,215,Verkhnevilyuysk,RU,63.4453,120.3167,45.84,73,8,3.67,clear sky
216,216,Osoyoos,CA,49.0331,-119.4524,70.99,36,76,4.43,broken clouds
217,217,Warrington,GB,53.3925,-2.5802,86.23,48,0,1.99,clear sky
218,218,Lompoc,US,34.6391,-120.4579,60.48,94,90,3.44,mist
219,219,Kaitangata,NZ,-46.2817,169.8464,46.89,78,100,18.01,overcast clouds
220,220,Bayangol,RU,50.6977,103.4656,36.1,92,91,2.68,overcast clouds
221,221,Zenzeli,RU,45.9241,47.0474,66.11,28,0,9.35,clear sky
222,222,Stornoway,GB,58.2093,-6.3865,64.36,88,75,5.75,broken clouds
223,223,Kavieng,PG,-2.5744,150.7967,78.24,90,100,17.76,heavy intensity rain
224,224,Novikovo,RU,51.1537,37.8879,64.47,39,91,6.11,overcast clouds
225,225,Zarubino,RU,42.63,131.0922,64.45,89,30,0.76,scattered clouds
226,226,Poum,NC,-20.2333,164.0167,69.3,62,100,13.96,overcast clouds
227,227,Chokurdakh,RU,70.6333,147.9167,33.03,90,100,13.51,overcast clouds
228,228,Veraval,IN,20.9,70.3667,79.23,93,100,21.9,moderate rain
229,229,Zhengjiatun,CN,43.5064,123.5064,59.38,89,0,9.98,clear sky
230,230,Krasnoselkup,RU,65.7,82.4667,45.64,92,96,6.87,overcast clouds
231,231,Yarovoye,RU,52.9273,78.58,56.62,82,85,15.08,overcast clouds
232,232,Koungou,YT,-12.7336,45.2042,78.51,73,75,8.05,broken clouds
233,233,Anadyr,RU,64.75,177.4833,44.2,90,100,16.78,moderate rain
234,234,Jashpurnagar,IN,22.9,84.15,73.08,89,50,3.09,scattered clouds
235,235,Salalah,OM,17.0151,54.0924,80.69,94,75,8.05,broken clouds
236,236,Xiongzhou,CN,25.1167,114.3,77.56,91,100,1.19,overcast clouds
237,237,Tarm,DK,55.9086,8.5304,75.38,61,0,1.01,clear sky
238,238,Acari,PE,-15.4311,-74.6158,69.13,68,63,8.41,broken clouds
239,239,Ancud,CL,-41.8697,-73.8203,49.53,78,87,6.38,overcast clouds
240,240,Nelson Bay,AU,-32.7167,152.15,58.08,91,2,11.03,clear sky
241,241,Souillac,MU,-20.5167,57.5167,71.37,71,21,13.24,few clouds
242,242,Sur,OM,22.5667,59.5289,87.66,62,91,11.34,overcast clouds
